1999,Special Purpose Vehicle 4WD,1
1999,Sport Utility Vehicle - 2WD,71
1999,Sport Utility Vehicle - 4WD,91
2000,Large Cars,32
2000,Two Seaters,33
2000,Compact Cars,130
2000,Midsize Cars,110
2000,Minivan - 2WD,29
2000,Minivan - 4WD,3
2000,Subcompact Cars,104
2000,Minicompact Cars,18
2000,Vans Cargo Type,21
2000,Small Station Wagons,23
2000,Vans Passenger Type,17
2000,Midsize Station Wagons,34
2000,Small Pickup Trucks 2WD,17
2000,Standard Pickup Trucks 2WD,58
2000,Standard Pickup Trucks 4WD,47
2000,Sport Utility Vehicle - 2WD,74
2000,Sport Utility Vehicle - 4WD,90
2001,Large Cars,36
2001,Two Seaters,43
2001,Compact Cars,163
2001,Midsize Cars,105
2001,Minivan - 2WD,21
2001,Minivan - 4WD,3
2001,Subcompact Cars,86
2001,Minicompact Cars,22
2001,Vans Cargo Type,23
2001,Small Station Wagons,27
2001,Vans Passenger Type,18
2001,Midsize Station Wagons,38
2001,Small Pickup Trucks 2WD,11
2001,Standard Pickup Trucks 2WD,65
2001,Standard Pickup Trucks 4WD,52
2001,Special Purpose Vehicle 4WD,1
2001,Sport Utility Vehicle - 2WD,88
2001,Sport Utility Vehicle - 4WD,109
2002,Large Cars,35
2002,Two Seaters,48
2002,Compact Cars,183
2002,Midsize Cars,105
2002,Minivan - 2WD,23
2002,Minivan - 4WD,6
2002,Subcompact Cars,84
2002,Minicompact Cars,28
2002,Vans Cargo Type,22
2002,Small Station Wagons,34
2002,Vans Passenger Type,16
2002,Midsize Station Wagons,39
2002,Small Pickup Trucks 2WD,10
2002,Standard Pickup Trucks 2WD,65
2002,Standard Pickup Trucks 4WD,53
2002,Sport Utility Vehicle - 2WD,102
2002,Sport Utility Vehicle - 4WD,122
2003,Large Cars,40
2003,Two Seaters,53
2003,Compact Cars,186
2003,Midsize Cars,98
2003,Minivan - 2WD,18
2003,Minivan - 4WD,5
2003,Subcompact Cars,72
2003,Minicompact Cars,55
2003,Vans Cargo Type,33
2003,Small Station Wagons,43
2003,Vans Passenger Type,13
2003,Midsize Station Wagons,43
2003,Small Pickup Trucks 2WD,8
2003,Special Purpose Vehicle,1
2003,Special Purpose Vehicles,2
2003,Standard Pickup Trucks 2WD,65
2003,Standard Pickup Trucks 4WD,55
2003,Sport Utility Vehicle - 2WD,108
2003,Sport Utility Vehicle - 4WD,146
2004,Large Cars,53
2004,Two Seaters,59
2004,Compact Cars,190
2004,Midsize Cars,119
2004,Minivan - 2WD,19
2004,Minivan - 4WD,6
2004,Subcompact Cars,82
2004,Minicompact Cars,54
2004,Vans Cargo Type,27
2004,Small Station Wagons,42
2004,Vans Passenger Type,16
2004,Midsize Station Wagons,48
2004,Standard Pickup Trucks 2WD,80
